;emote;emote_sound_duration;emote_sound_danceability;emote_sound_energy;emote_sound_loudness;emote_sound_bpm;emote_sound_acousticness;emote_sound_instrumentalness;emote_sound_liveness;emote_sound_speechiness;emote_sound_valence;emote_sound_title;emote_sound_artist;emote_sound_genre;emote_sound_album;emote_sound_release_year
0;275;32.02;16.103036880493164;8.898589774249695;4.007365397936345;135.9990997314453;8.282608695652174;-12.19589864195814;16.272544860839844;13.19589864195814;0.8477617502212524;Intensity;Fortnite;Pop;Unknown;Unknown
1;513;32.02;16.10456657409668;5.676879882481307;2.9044009735050893;143.29396057128906;4.113043478260869;-17.777369653853775;16.403284072875977;18.777369653853775;0.8655502200126648;Hype;Nite Gamic;Soundtrack;Unknown;Unknown
2;507;35.03;17.48680305480957;12.956315367906017;5.349367747670894;111.63260650634766;8.189403973509934;-19.020888880863943;17.53491973876953;20.020888880863943;0.7242254018783569;Get Funky (Remix);KillerBoss932;Electronic;Unknown;Unknown
3;261;34.03;17.093469619750977;6.929090274426287;3.5298546216528703;144.01889038085938;6.249488752556237;-19.9749304905273;16.895235061645508;20.9749304905273;0.8575887084007263;Crackdown;Nite Gamic;Soundtrack;Unknown;Unknown
4;12437;30.02;14.855320930480955;2.9455636717322236;1.8976347872316608;99.63748931884766;6.461360123647604;-17.042937480178093;14.81450080871582;18.042937480178093;0.8023159503936768;Hip Hop Hooray;Naughty By Nature;Hip-Hop/Rap;19Naughtyiii;1992.0
5;11670;30.02;15.109901428222656;8.05162923183606;3.686862352127109;96.97098541259766;5.40726429675425;-17.587407268137547;15.179283142089844;18.587407268137547;0.5314147472381592;Party;Bad Bunny & Rauw Alejandro;Latin;Un Verano Sin Ti;2022.0
6;11857;30.11;15.107621192932127;30.74381954271421;9.651728487569258;172.2655792236328;18.470724191063173;-17.554646982663584;15.313961029052734;18.554646982663584;0.9068074822425842;Race to the Horizon;Daniel Bidu;Pop;Unknown;Unknown
7;11738;30.13;14.102025985717772;7.456236432064856;3.7383903035115424;112.86483764648438;13.340261739799846;-15.495109188455723;12.269424438476562;16.495109188455725;0.88596111536026;Main Title Terminator 2 Theme (Remastered 2017);Brad Fiedel;Soundtrack;Terminator 2: Judgment Day (Original Soundtrack Recording) [Remastered 2017];1991.0
8;15576;30.03;15.223584175109863;14.709252734626125;5.886101069551637;88.4017333984375;6.572972972972973;-24.5819764818464;14.929755210876465;25.5819764818464;0.920657217502594;Too Many Nights (feat. Don Toliver);Metro Boomin & Future;Hip-Hop/Rap;HEROES & VILLAINS (Heroes Version);2022.0
9;6449;35.01;17.720956802368164;14.695362362960498;5.240365216760551;102.98999786376952;9.275679257786614;-9.686752125579892;18.139638900756836;10.686752125579892;0.8901546597480774;Build a Bitch;Bella Poarch;Pop;Dolls - EP;2021.0
10;2808;35.03;17.734840393066406;11.192339239837386;4.898736291805967;100.47158813476562;8.412582781456953;-17.066826329135203;17.580904006958008;18.066826329135203;0.916340947151184;You Take My Hand (feat. Jamie Irrepressible);Tinlicker;Dance;In Another Lifetime;2021.0
11;1483;32.03;15.937551498413086;9.602176162298765;4.117623795749301;120.01114654541016;5.267197682838523;-21.090625983135304;16.452903747558594;22.090625983135304;0.8837602734565735;Signature Shuffle;Code Taco;Dance;Unknown;Unknown
12;498;32.02;16.269079208374023;10.662881560542662;4.624021000577765;120.0552215576172;7.907246376811594;-18.822668762620225;16.041540145874023;19.822668762620225;0.8572006821632385;Electro Swing;Fortnite;Pop;Unknown;Unknown
13;4706;38.03;18.934234619140625;6.33131504554601;3.150318965893181;123.97877502441406;9.071384990848076;-15.433766192878563;19.744834899902344;16.433766192878565;0.9790620803833008;Humancity;t'Awi;Electronic;Daylight;2017.0
14;4707;31.02;15.557116508483888;3.8323893602002306;2.328114204349814;90.10368347167967;6.24831712789828;-16.31163651812881;15.411993026733398;17.31163651812881;0.5596981644630432;Zombie Shambles;Code Taco;Dance;Unknown;Unknown
15;499;34.03;17.086755752563477;15.272919895511023;5.74927654480239;113.91659545898438;10.568507157464213;-14.302866979421932;17.324703216552734;15.302866979421932;0.8942046165466309;Roll It;P-Square;Unknown;Game Over;2007.0
16;1482;43.02;21.49272918701172;15.402488911950767;5.223082502195577;135.26901245117188;5.3101402373247035;-15.916658239002764;21.744951248168945;16.916658239002764;0.881018877029419;Tai Chi;Code Taco;Dance;Unknown;Unknown
17;14866;30.04;15.023308753967283;19.056543992988363;6.764862704666828;75.06168365478516;6.836293436293436;-21.438036949759976;15.107787132263184;22.438036949759976;0.8402553200721741;you should see me in a crown;Billie Eilish;Alternative;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;2018.0
18;658;4.0199773242630386;2.0104610919952393;0.2463959812758756;0.306492735305219;101.33272552490234;1.32;8.108034728020554;1.3600260019302368;-7.108034728020554;0.6595622301101685;Prepare for an Assault on San Felipe;CleanJAI Gaming;Stories;Unknown;Unknown
19;15577;30.04;14.942041397094728;10.88535726123892;4.5399677478021525;129.1992645263672;9.591505791505792;-18.75195086563876;14.892494201660156;19.75195086563876;0.9280062913894652;Montagem Mysterious Game;LXNGVX;Electronic;Montagem Mysterious Game - Single;2023.0
20;10369;30.12;15.207042694091797;7.750410505215579;3.6732001952867126;125.76239013671876;3.451116243264049;-19.649735990105867;14.936193466186523;20.649735990105867;0.6599681973457336;Do It To It (feat. Cherish);Acraze;Dance;Do It To It (feat. Subtronics & Cherish) [Subtronics Remix] - Single;2021.0
21;704;31.03;15.643476486206056;15.171011593014626;5.622477902097679;116.39208984375;3.774289985052317;-26.828590368698876;15.632352828979492;27.828590368698876;0.6079233288764954;Fire Spinner;Code Taco;Dance;Unknown;Unknown
22;11671;30.14;15.185087203979492;25.871329860613468;8.610650728701685;123.05640411376952;6.337692307692308;-29.57891043980152;15.45483112335205;30.57891043980152;0.627038300037384;GOATED.;Armani White & Denzel Curry;Hip-Hop/Rap;Road to CASABLANCO.;2023.0
23;11659;30.12;15.00280475616455;26.555436545825227;8.841471769558044;154.86227416992188;8.519630484988452;-22.656387512481057;14.963546752929688;23.656387512481057;0.6323235630989075;Fortnite Pay It Off Emote Audio;Stiizy Icey;Hip-Hop/Rap;Fortnite Pay It Off Emote Audio - Single;2024.0
24;12344;30.12;15.25458812713623;9.65496954941309;4.3923218260369365;126.99835968017578;14.320246343341031;-13.866428424432884;14.534476280212402;14.866428424432884;0.8381622433662415;Flying Apples;Fabio Martoglio;Electronic;Flying Apples;2021.0
25;506;31.03;15.5633544921875;8.132022202569505;3.966893965906365;124.81421661376952;12.720478325859492;-16.48861196435946;15.616397857666016;17.48861196435946;0.823617696762085;Flux;Nite Gamic;Alternative;Unknown;Unknown
26;260;39.03;19.564350128173828;7.441685557575269;3.677128265718218;151.92225646972656;14.329369797859693;-13.098073983808597;19.74625015258789;14.098073983808597;0.8491605520248413;Cheer Up;Code Taco;Dance;Unknown;Unknown
27;274;36.02;18.041906356811523;2.5469741831975585;1.7645261238313543;135.99916076660156;4.018029620090148;-18.017416391340177;18.492115020751953;19.017416391340177;0.6431812047958374;Hula;THE PURIST 2;Hip-Hop/Rap;The Ableton Era: Beat Tape - EP;2020.0
28;512;32.02;16.012929916381836;12.15972250489572;4.97525057660625;127.98722839355467;6.868115942028986;-18.32255083741485;16.293855667114258;19.32255083741485;0.8746894001960754;Hot Marat;Nite Gamic;Alternative;Unknown;Unknown
29;10751;30.02;14.942041397094728;3.80719213869273;2.3166950937587956;148.28829956054688;9.7596599690881;-7.940616513057245;15.160228729248049;8.940616513057245;0.8112170100212097;Shout;Otis Day & The Knights;Pop;Millennium Party;1999.0
30;4667;43.0;21.601327896118164;17.087598532836466;6.445242468548897;85.50012969970703;14.591473286562332;-18.735504288165377;22.082895278930664;19.735504288165377;0.9132180213928224;Blinding Lights;The Weeknd;R&B/Soul;After Hours;2019.0
31;1709;34.02;17.112743377685547;8.20142131541959;3.842287278448059;115.24085998535156;6.845262440354465;-20.178705164398743;16.959274291992188;21.178705164398743;0.8609038591384888;Stride;Yaq8bi;Pop;Unknown;Unknown
32;289;38.02;18.976415634155273;8.387025578649824;3.8168020473530593;101.34774017333984;6.784624771201952;-17.070246859235226;19.219568252563477;18.070246859235223;0.8117426633834839;Vivacious;Fortnite;Pop;Unknown;Unknown
33;538;34.03;16.98581314086914;10.696056839777317;4.619187020764901;150.09242248535156;2.3517382413087935;-26.796321220330285;17.464197158813477;27.796321220330285;0.7037244439125061;Raining Doubloons;Zeshou;Funk;Unknown;Unknown
34;262;35.03;17.61726951599121;9.4275341857769;4.315433329033031;137.46942138671875;10.573509933774837;-16.85555212662018;17.786991119384766;17.85555212662018;0.903378129005432;Dance Therapy;Fortnite;Pop;Unknown;Unknown
35;510;32.02;16.037431716918945;2.4061136344243583;1.712082903266879;118.99574279785156;6.641304347826087;-12.713869292420387;15.867461204528809;13.713869292420387;0.8170844316482544;Hitchhiker;Fortnite;Pop;Unknown;Unknown
