id;name;url;wishlists;occurrences;votes_fire;votes_love;votes_neutral;votes_disgust;votes_poop
15297;PURR-DEMONIUM;https://fortnite.gg/cosmetics?id=15297;203;0;0;0;0;0;0
15296;SKATEMONSTER;https://fortnite.gg/cosmetics?id=15296;162;0;0;0;0;0;0
15387;STAND SURFER;https://fortnite.gg/cosmetics?id=15387;57;0;0;0;0;0;0
15383;TUNAGE;https://fortnite.gg/cosmetics?id=15383;120;0;0;0;0;0;0
15092;CAULDRON CHILL;https://fortnite.gg/cosmetics?id=15092;466;0;0;0;0;0;0
15090;LEAF BLOWER;https://fortnite.gg/cosmetics?id=15090;1,284;0;0;0;0;0;0
14803;BIRD CALL;https://fortnite.gg/cosmetics?id=14803;665;0;0;0;0;0;0
4066;VICTORY VON DOOM;https://fortnite.gg/cosmetics?id=4066;6,719;0;2.5K;293;180;83;238
14705;DOOM'S DOMAIN;https://fortnite.gg/cosmetics?id=14705;355;0;1K;118;119;25;137
14521;VANGUARD'S CHARGE;https://fortnite.gg/cosmetics?id=14521;263;0;631;108;191;48;210
11495;SHOWBOAT;https://fortnite.gg/cosmetics?id=11495;908;0;955;200;467;228;1.3K
12068;PULL UP;https://fortnite.gg/cosmetics?id=12068;387;0;489;116;232;116;734
11483;SLAMMIN' BASS;https://fortnite.gg/cosmetics?id=11483;639;0;672;111;280;129;751
12652;SHADOW VOX;https://fortnite.gg/cosmetics?id=12652;423;0;440;98;173;96;482
14628;STICK 'EM UP;https://fortnite.gg/cosmetics?id=14628;740;0;628;149;219;82;371
14631;GROUNDSKEEPER;https://fortnite.gg/cosmetics?id=14631;516;0;445;79;140;62;338
14627;CYMBALISM;https://fortnite.gg/cosmetics?id=14627;394;0;317;76;167;64;470
14532;(SNIKT!);https://fortnite.gg/cosmetics?id=14532;324;0;368;63;81;19;64
14531;PEEL OUT;https://fortnite.gg/cosmetics?id=14531;303;0;372;89;64;19;79
14529;MYSTERIO'S MAGIC TRICK;https://fortnite.gg/cosmetics?id=14529;293;0;343;74;83;18;59
14528;TAKE THE MANTLE;https://fortnite.gg/cosmetics?id=14528;323;0;453;82;70;14;63
14527;HELLFIRE DANCE;https://fortnite.gg/cosmetics?id=14527;474;0;1.8K;168;146;52;228
14526;GWEN-STEP;https://fortnite.gg/cosmetics?id=14526;317;0;1.1K;151;118;29;156
14525;FIREWORKS SALVO;https://fortnite.gg/cosmetics?id=14525;277;0;416;87;88;19;56
14524;CAPTAIN LLAMERICA;https://fortnite.gg/cosmetics?id=14524;263;0;587;73;93;29;99
14638;MIC'D UP MOVES;https://fortnite.gg/cosmetics?id=14638;155;0;202;23;59;24;104
14634;HEADS UP;https://fortnite.gg/cosmetics?id=14634;148;0;210;27;51;24;96
14448;TRUNKS' CHARGING UP;https://fortnite.gg/cosmetics?id=14448;330;0;333;36;40;22;95
14384;GLITTER UP;https://fortnite.gg/cosmetics?id=14384;2,224;0;1.3K;260;396;178;703
14270;THE SNOWBLOWER;https://fortnite.gg/cosmetics?id=14270;2,259;0;2.6K;298;350;172;651
14273;SUN SOAKIN';https://fortnite.gg/cosmetics?id=14273;807;0;648;121;339;112;412
12761;JAR OF DIRT;https://fortnite.gg/cosmetics?id=12761;1,014;0;1.6K;175;200;68;260
12760;SPARROW RUN;https://fortnite.gg/cosmetics?id=12760;1,901;0;3.9K;301;231;99;403
12759;DISASSEMBLE;https://fortnite.gg/cosmetics?id=12759;521;0;1.4K;182;172;51;189
12615;INVISIBLE STAIRS;https://fortnite.gg/cosmetics?id=12615;1,376;0;1.1K;196;452;183;1.6K
12651;ASANA SONIC;https://fortnite.gg/cosmetics?id=12651;540;0;458;97;205;119;694
12649;BIG BREAK;https://fortnite.gg/cosmetics?id=12649;735;0;733;139;238;109;451
12648;ROUNDHOUSE;https://fortnite.gg/cosmetics?id=12648;120;0;120;33;65;31;97
12647;PARADE RIFFS;https://fortnite.gg/cosmetics?id=12647;145;0;245;37;69;23;120
12645;GET LOST;https://fortnite.gg/cosmetics?id=12645;174;0;215;33;63;21;93
12421;CODSWORTH'S CLEANUP;https://fortnite.gg/cosmetics?id=12421;468;0;892;134;185;42;156
12424;FIRE SHOW;https://fortnite.gg/cosmetics?id=12424;293;0;406;122;153;37;118
12423;PEA PART HARMONY;https://fortnite.gg/cosmetics?id=12423;427;0;1.7K;208;151;57;215
12422;BRITE MOVES;https://fortnite.gg/cosmetics?id=12422;747;0;2.4K;230;263;74;297
12420;WASTELAND ROCK;https://fortnite.gg/cosmetics?id=12420;402;0;1.7K;186;153;53;197
12419;MAKE A SEAT;https://fortnite.gg/cosmetics?id=12419;312;0;796;183;171;34;131
12418;GET NITRO'D;https://fortnite.gg/cosmetics?id=12418;276;0;604;106;117;25;128
12236;WOOKIEE WAR CRY;https://fortnite.gg/cosmetics?id=12236;503;0;633;83;66;30;135
12176;SERENI-TEA;https://fortnite.gg/cosmetics?id=12176;5,206;0;3.4K;406;268;105;327
12072;SPINBACK;https://fortnite.gg/cosmetics?id=12072;219;0;229;38;84;49;220
11824;AVATAR'S FLOURISH;https://fortnite.gg/cosmetics?id=11824;681;0;1.5K;244;206;48;220
11826;POTTED GROOT DANCE;https://fortnite.gg/cosmetics?id=11826;1,221;0;1.7K;156;174;64;376
11823;ZARGNUT INVISIBILITY;https://fortnite.gg/cosmetics?id=11823;1,581;0;1.9K;143;175;55;263
11584;CONCH CALL;https://fortnite.gg/cosmetics?id=11584;517;0;1.1K;216;175;59;141
11577;DARK TRANSFORMATION;https://fortnite.gg/cosmetics?id=11577;712;0;1.3K;175;142;49;187
11583;TEMPEST FLIGHT;https://fortnite.gg/cosmetics?id=11583;773;0;1.5K;220;205;54;198
11582;MOONLIT MYSTERY;https://fortnite.gg/cosmetics?id=11582;1,531;0;6.2K;572;338;138;680
11581;SERPENTINE SUMMONING;https://fortnite.gg/cosmetics?id=11581;841;0;1.5K;255;195;62;246
11578;SHADEBOX;https://fortnite.gg/cosmetics?id=11578;519;0;739;162;207;62;152
11580;SWEET SWING;https://fortnite.gg/cosmetics?id=11580;1,328;0;1.5K;295;193;70;190
11455;TREADIN';https://fortnite.gg/cosmetics?id=11455;2,453;0;2.1K;342;401;142;584
11491;CRAB WALKIN';https://fortnite.gg/cosmetics?id=11491;472;0;917;82;131;43;239
11489;STRAP SPIN;https://fortnite.gg/cosmetics?id=11489;273;0;304;58;119;38;151
11485;BACKBEAT BOW;https://fortnite.gg/cosmetics?id=11485;295;0;301;79;104;39;167
11342;NINJA STANCE: RAPH;https://fortnite.gg/cosmetics?id=11342;514;0;949;152;188;41;218
11341;NINJA STANCE: DONNIE;https://fortnite.gg/cosmetics?id=11341;481;0;765;127;162;35;171
11340;NINJA STANCE: MIKEY;https://fortnite.gg/cosmetics?id=11340;531;0;1.1K;155;133;40;191
11339;NINJA STANCE: LEO;https://fortnite.gg/cosmetics?id=11339;468;0;855;152;149;41;196
11338;BATTLE PREP: SUPER;https://fortnite.gg/cosmetics?id=11338;467;0;686;108;165;68;204
11337;BATTLE PREP;https://fortnite.gg/cosmetics?id=11337;438;0;545;96;156;68;202
