,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae
0,103.89040573438008,0.8660919989142328,1.9778680006663005,0.07968946786279729,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.780610519801446,-0.7650953632455288,-0.7688505408918809,-0.7715188079796187,0.006609072435033685,6,0.9818981398585903,0.9825409329501849,0.9824114620818631,0.9822835116302127,0.0002775778908205374,6,-0.27457922565454584,-0.27408762467956116,-0.2725325325341887,-0.27373312762276525,0.0008723490527256702,7
1,206.52183000246683,0.3116085499865964,3.7680717309316,0.14011686351859806,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.7801571784991439,-0.7652528218964723,-0.7692321715135916,-0.7715473906364027,0.006301065577867114,7,0.9819191591447078,0.9825337459662857,0.9823939970735537,0.9822823007281825,0.000263041562611026,7,-0.27438048200260157,-0.2740633754588442,-0.27249095622602443,-0.2736449378958234,0.0008261938475916506,5
2,103.63996044794719,0.2740822676766438,1.93795641263326,0.037530509679675375,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.7809073589411356,-0.7651155299813276,-0.7687672327053179,-0.7715967072092603,0.006750304188222592,8,0.9818843702203329,0.9825400125498016,0.982415273459332,0.9822798854098221,0.00028427001132765305,8,-0.274629208269932,-0.27416063405947716,-0.27258546682245555,-0.2737917697172882,0.0008741721620051437,8
3,206.64833935101828,0.11514878997046775,3.816258748372396,0.06081152288174804,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.7806482086834168,-0.7646399738497885,-0.7691888279449401,-0.7714923368260486,0.00673525602067983,5,0.9818963918541177,0.9825617102499338,0.9823959810922298,0.9822846943987603,0.00028278459182486,5,-0.274463203543496,-0.2740976288940448,-0.2725436867575575,-0.2737015063983661,0.0008321942668079171,6
4,103.55525628725688,0.08683319562163795,1.972944736480713,0.024440666724135102,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.7791941162180847,-0.7650065134406999,-0.767171516777716,-0.7704573821455002,0.006240710512626822,2,0.9819637712526877,0.982544987724799,0.9824881982797004,0.982332319085729,0.0002616319159917003,2,-0.27437220021166575,-0.2738834872080499,-0.2721977732938367,-0.27348448690451743,0.0009314626623073742,3
5,207.4554833571116,0.15283023705425636,4.207976818084717,0.16125253777279422,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.7786240465859384,-0.7650658618724244,-0.7680463994831954,-0.7705787693138527,0.005817546212442652,4,0.981990152727799,0.9825422793353431,0.9824482345739601,0.9823268888790341,0.00024118392835808681,4,-0.27415908859599764,-0.27389621529070013,-0.2722444154473439,-0.27343323977801387,0.000847448350659876,1
6,104.53225827217102,0.4824498617482329,2.066001574198405,0.08350312956845775,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.7791623625110645,-0.7646937446499589,-0.7671869917243727,-0.7703476996284654,0.006315472088129905,1,0.9819652412469851,0.9825592575825483,0.982487491796405,0.9823373302086461,0.00026473285724501033,1,-0.2743696026225528,-0.2738748862915742,-0.27223733018408763,-0.2734939396994049,0.0009112214028520873,4
7,206.59087340037027,0.3373809196425754,4.029282649358113,0.09143182816237007,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-0.7785476377423947,-0.7646743651967663,-0.7681592119937068,-0.7704604049776226,0.005892851015891399,3,0.9819936872810597,0.982560141564589,0.9824430781038801,0.9823323023165096,0.00024415987949543186,3,-0.27417155687094347,-0.2738771229752727,-0.2722734113077513,-0.2734406970513225,0.0008341022459660432,2
8,166.09704764684042,0.5373002050616565,10.332060734430948,0.3227651454490092,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.8160718251853828,-0.8087138568216472,-0.8094341441480554,-0.8114066087183618,0.003311886367944913,16,0.9802161334448125,0.9804934860812051,0.9805056422716983,0.9804050872659054,0.00013370266295280865,16,-0.28322076450216627,-0.28318134269877077,-0.2813362049662481,-0.2825794373890617,0.0008792453819410406,16
9,328.5894848505656,1.0427110016820151,26.19593079884847,0.4535643564267302,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.8143283792920286,-0.8092029388418369,-0.8086892879696761,-0.8107402020345139,0.002545875269022082,15,0.9803005751706144,0.9804698852241895,0.9805415038964894,0.980437321430431,0.0001010180288723856,15,-0.2826350617607577,-0.28251411638114826,-0.2808113735709859,-0.28198685057096395,0.0008326530206996074,15
