,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae
0,10.87197232246399,0.4452021634000972,0.19043866793314615,0.02325103134605783,0.8,0.01,3,1,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",-2.495570399043987,-2.4850626647205774,-2.484225558415243,-2.4882862073932692,0.0051620262652631276,63,0.8149904882497334,0.8158106216588494,0.816376634862321,0.8157259149236347,0.0005690530327600406,63,-1.7636271702155986,-1.7617758334816451,-1.762515613487383,-1.7626395390615421,0.0007608679633897812,63
1,10.08139975865682,1.1232570059821734,0.1715999444325765,0.029746638916997678,0.8,0.01,3,1,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",-2.49537538581449,-2.4843083121195284,-2.4833298825355534,-2.487671193489857,0.005462311210705302,61,0.8150194017940694,0.815922427811743,0.8165090200796277,0.8158169498951467,0.000612690706275474,61,-1.7623664067457725,-1.7613275220373745,-1.762697721942211,-1.762130550241786,0.0005837140639377371,61
2,19.57662232716878,1.4951691129411757,0.2927003701527913,0.04206684371318256,0.8,0.01,3,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",-1.2898023543466788,-1.2750421489852304,-1.2728222035805592,-1.2792222356374896,0.007535968122956895,47,0.9505802281166857,0.9515114747208337,0.9517961888522497,0.9512959638965898,0.0005192775841705878,47,-0.7630250334687841,-0.7619324435761613,-0.7596322157172029,-0.7615298975873829,0.0014140569363059715,47
3,18.04557665189107,1.3418154358711352,0.37621649106343585,0.024440628593331477,0.8,0.01,3,1,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 1.0}",-1.289937431510821,-1.274864331771715,-1.272176955724412,-1.2789929063356493,0.007816327824384831,45,0.9505698764032348,0.9515249981847308,0.951845049599481,0.9513133080624822,0.0005416802260863554,45,-0.7622456581742348,-0.7618747291249541,-0.7595930535386178,-0.7612378136126022,0.0011728381148962358,45
4,10.572944800059,0.12855593500246112,0.18735003471374512,0.006318720051635422,0.8,0.01,3,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.8}",-2.495570399043987,-2.4850626647205774,-2.484225558415243,-2.4882862073932692,0.0051620262652631276,63,0.8149904882497334,0.8158106216588494,0.816376634862321,0.8157259149236347,0.0005690530327600406,63,-1.7636271702155986,-1.7617758334816451,-1.762515613487383,-1.7626395390615421,0.0007608679633897812,63
5,10.084009011586508,0.16630416341923537,0.177125612894694,0.031756471120278976,0.8,0.01,3,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",-2.49537538581449,-2.4843083121195284,-2.4833298825355534,-2.487671193489857,0.005462311210705302,61,0.8150194017940694,0.815922427811743,0.8165090200796277,0.8158169498951467,0.000612690706275474,61,-1.7623664067457725,-1.7613275220373745,-1.762697721942211,-1.762130550241786,0.0005837140639377371,61
6,19.55230402946472,0.6775553082781257,0.3468781312306722,0.0072247784721782,0.8,0.01,3,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",-1.2898023543466788,-1.2750421489852304,-1.2728222035805592,-1.2792222356374896,0.007535968122956895,47,0.9505802281166857,0.9515114747208337,0.9517961888522497,0.9512959638965898,0.0005192775841705878,47,-0.7630250334687841,-0.7619324435761613,-0.7596322157172029,-0.7615298975873829,0.0014140569363059715,47
7,19.56750210126241,0.7167383969634137,0.3320020834604899,0.0412298257267717,0.8,0.01,3,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 1.0}",-1.289937431510821,-1.274864331771715,-1.272176955724412,-1.2789929063356493,0.007816327824384831,45,0.9505698764032348,0.9515249981847308,0.951845049599481,0.9513133080624822,0.0005416802260863554,45,-0.7622456581742348,-0.7618747291249541,-0.7595930535386178,-0.7612378136126022,0.0011728381148962358,45
8,10.812945365905762,0.5331233530017946,0.3459756374359131,0.04584545787504157,0.8,0.01,5,1,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",-2.352377159036988,-2.340745452374709,-2.3416791941094846,-2.3449339351737275,0.00527694068665919,55,0.8356126806730987,0.8365826101748275,0.8368448881218847,0.8363467263232702,0.0005299777937360808,55,-1.6797616740273595,-1.6784834079016346,-1.679121764347057,-1.679122282092017,0.0005218500890031037,55
9,11.319400548934937,0.18528039615235126,0.32442911465962726,0.01080735399957488,0.8,0.01,5,1,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",-2.3524250962474333,-2.3405769965704333,-2.341633279115121,-2.344878457310996,0.005353674914253963,53,0.8356059807697404,0.8366061305599559,0.8368512862592707,0.836354465862989,0.0005386388897571469,53,-1.679583170408647,-1.6782623116947046,-1.6790151188940938,-1.6789535336658152,0.0005409938328705697,53
