,trip_distance,passenger_count,trip_duration,hour,day_of_week,month,is_weekend,avg_speed,fare_amount
count,898496.0,898496.0,898496.0,898496.0,898496.0,898496.0,898496.0,898496.0,898496.0
mean,2.2227130894294453,1.613371678894508,10.865739580365416,13.108188572904053,3.439708134482513,1.0012910463708242,0.34624973288695776,12.445399075365236,10.098324611350524
std,1.9346652216366103,1.1846948870086165,6.846780282320754,6.183170606080067,1.9083438842543687,0.1177538424339277,0.4757742188223505,43.13444946829865,5.796995222188084
min,0.01,1.0,0.016666666666666666,0.0,0.0,1.0,0.0,0.018759770713913496,0.01
25%,0.97,1.0,5.816666666666666,9.0,2.0,1.0,0.0,8.583450210378682,6.0
50%,1.58,1.0,9.333333333333334,14.0,4.0,1.0,0.0,10.904564315352697,8.5
75%,2.7,2.0,14.383333333333333,18.0,5.0,1.0,1.0,14.11764705882353,12.0
max,10.34,8.0,204.61666666666667,23.0,6.0,12.0,1.0,18540.0,49.2
